-58.30,-61.80,-77.12,-59.20,-64.00,5.4,4.1,0.21,0.21,0.17,0.21,0.21
-59.40,-62.90,-74.86,-56.50,-68.60,8.4,0.8,0.21,0.21,0.15,0.21,0.21
-67.60,-64.60,-74.88,-51.50,-58.30,14,3.7,0.21,0.21,0.17,0.21,0.21
-75.60,-62.60,-74.29,-57.30,-56.90,17.8,4.5,0.21,0.21,0.15,0.21,0.21
-69.80,-64.60,-75.88,-67.20,-57.80,23,1,0.21,0.21,0.17,0.21,0.21
-67.40,-62.50,-73.56,-57.00,-66.90,4.0,0.2,0.20,0.20,0.18,0.20,0.20
-64.00,-62.10,-68.90,-57.50,-71.00,0.6,4.2,0.20,0.20,0.20,0.20,0.20
-68.80,-61.70,-68.60,-41.80,-60.10,10.8,4.5,0.20,0.20,0.20,0.20,0.20
-73.00,-63.70,-68.40,-59.00,-62.30,13,0.3,0.20,0.20,0.20,0.20,0.20
-68.70,-63.40,-71.50,-58.70,-48.90,17.8,1.7,0.20,0.20,0.20,0.20,0.20
-66.00,-62.50,-69.67,-61.50,-53.30,21.5,5,0.19,0.21,0.19,0.21,0.21
-69.20,-64.00,-69.50,-59.60,-66.90,25.2,0.6,0.20,0.20,0.20,0.20,0.20
-70.20,-68.00,-69.90,-60.00,-49.40,16.6,4.6,0.20,0.20,0.20,0.18,0.20
